Card ID,Card Name,Effect Type,Description,Mechanics,Duration,Acquisition,Power Estimate,Flavor Text,Notes,
TAROT_M00,0. The Fool,Random Battle Modifier,Gain a powerful random buff and a minor random debuff for the next battle.,Buff: +30% Dmg OR +30% Spd OR Invincibility(5s). Debuff: -10% Def OR -10% Acc OR Minor DoT.,Next Battle,Random Drop,6,"Where instinct leads, consequence follows.",High variance, potentially strong or weak.
TAROT_M01,I. The Magician,Ability/Item Enhancement,Enhance your next activated ability or consumable item use.,Next ability use: instant cooldown reset OR Next consumable: double effectiveness/duration.,One Use (Ability or Item),Shrine,7,Will shapes the tools at hand.,Tactical choice required for maximum benefit.,
TAROT_M02,II. The High Priestess,Enemy/Information Reveal,Reveals attack patterns or weaknesses of the next major enemy.,Reveals Boss/Elite primary pattern OR a specific elemental/physical weakness (+25% dmg taken).,Next Boss/Elite Encounter,NPC Reward,5,Secrets whisper to those who listen.,Situational, very useful for tough bosses.
TAROT_M03,III. The Empress,Resource/Sustain Modifier,Gain very minor health recovery upon killing enemies in the next battle.,On enemy kill: Recover 1 HP (Max 10 HP per battle).,Next Battle,Chest,4,"Life persists, even nourished by death.",Low impact heal, avoids breaking HP tension. Balance cap carefully.
TAROT_M04,IV. The Emperor,Defensive Battle Buff,Gain resistance to knockback/stuns and minor damage reduction.,Resist Knockback/Stun effects. +10% Damage Reduction.,Next Battle,Random Drop,6,Order imposes itself upon chaos.,Solid defensive option, good vs crowd control.
TAROT_M05,V. The Hierophant,Ritual Modifier,Reduces the cost of the next Blood Ritual performed.,Next Ritual: Health Cost reduced by 20% (relative) OR Item Cost reduced by 1 (if applicable).,Next Ritual Use,Altar Event,5,Ancient rites answer humbled pleas.,Synergizes directly with Blood Ritual system.,
TAROT_M06,VI. The Lovers,Choice-Based Buff,"Choose between a damage boost with speed penalty, or vice versa.","Choose: A) +25% Dmg, -10% Speed OR B) +25% Speed, -10% Dmg.",Next Battle,Random Drop,6,Every path taken leaves another behind.,Forces player to adapt strategy.,
TAROT_M07,VII. The Chariot,Mobility/Momentum Buff,Increases movement speed and rewards aggressive movement with damage.,+20% Move Speed. Dashing then damaging grants +10% Dmg briefly (3s cooldown).,Next Battle,Elite Drop,7,Victory belongs to the unwavering.,Favors mobile playstyles.,
TAROT_M08,VIII. Strength,Offensive Battle Buff,Increases base damage and slightly increases poise/stagger resistance.,+15% Base Damage. Minor increase to Poise.,Next Battle,Random Drop,7,"True power comes from within, raw and untamed.",Reliable offensive boost.,
TAROT_M09,IX. The Hermit,Overworld/Navigation,Reveals the location of the next Blood Altar or a hidden item cache.,Reveals nearest Altar OR Hidden Cache on Overworld Map.,Until Found/Transition,Random Event,4,Wisdom is found far from the beaten path.,Utility for planning/exploration.,
TAROT_M10,X. Wheel of Fortune,Random Resource/Loot Modifier,Next battle's rewards are significantly increased or decreased randomly.,50% chance: +50% battle rewards (currency/items). 50% chance: -50% battle rewards.,Next Battle Rewards,Shrine,5,Fortune smiles or scowls as it wills.,Pure RNG, high potential swing.
TAROT_M11,XI. Justice,Reactive Battle Modifier,Triggers a damaging shockwave upon successful parry/block or taking low-health damage.,On Parry/Block OR on Hit taken below 30% HP: Minor AoE damage shockwave.,Next Battle,Random Drop,6,Every action bears its own consequence.,Rewards defensive play or punishes mistakes.,
TAROT_M12,XII. The Hanged Man,Delayed Buff / High Risk,"Immediately lose health, gain a permanent passive buff if you survive the next battle.","Immediate: Lose 15% Current HP. If survive next battle, gain permanent passive (e.g., +5% Max HP OR +3% Crit).",Immediate Cost / Run-long Reward,Rare Event,8,"Suspension brings revelation, often at a price.",High risk, potentially high reward for skilled players.
TAROT_M13,XIII. Death,Ritual / Enemy Modifier,Unlocks a unique Ritual option or alters enemies in the next battle.,"Unlocks unique Ritual option at next Altar OR Next Battle enemies: -25% HP, +15% Speed.",Next Ritual Use / Next Battle,Boss Drop,7,Endings are merely beginnings in disguise.,Offers strategic choice or changes encounter dynamic.,
TAROT_M14,XIV. Temperance,Balancing / Efficiency Buff,"Increases positive status effect duration, decreases negative ones.",+20% Duration on own Buffs/DoTs applied. -20% Duration on Debuffs affecting player.,Next Battle,NPC Reward,6,Balance in all things; grace under pressure.,Subtle but strong with status effect builds.,
TAROT_M15,XV. The Devil,High Power / High Cost Debuff,"Gain a large permanent damage boost, but also take significantly more damage.","Permanent: +40% Damage Dealt, +20% Damage Taken. Cannot be removed.",Rest of Run,Cursed Shrine,9,Power's chains are often forged by the wearer.,Major run modifier, glass cannon style. Very risky.
